Group	Sample	Bin	Score
L1Md_A.O.bed	E13.5	63	0.25461201951219514
L1Md_A.O.bed	E13.5	64	0.25450624390243903
L1Md_A.O.bed	E13.5	65	0.2536115317073171
L1Md_A.O.bed	E13.5	66	0.25099489268292685
L1Md_A.O.bed	E13.5	67	0.24892659024390243
L1Md_A.O.bed	E13.5	68	0.2489939463414634
L1Md_A.O.bed	E13.5	69	0.24811850731707316
L1Md_A.O.bed	E13.5	70	0.24707954146341463
L1Md_A.O.bed	E13.5	71	0.24675247804878048
L1Md_A.O.bed	E13.5	72	0.24737775609756096
L1Md_A.O.bed	E13.5	73	0.24539603902439025
L1Md_A.O.bed	E13.5	74	0.24697374146341464
L1Md_A.O.bed	E13.5	75	0.2487149463414634
L1Md_A.O.bed	E13.5	76	0.24889774634146342
L1Md_A.O.bed	E13.5	77	0.24885923414634145
L1Md_A.O.bed	E13.5	78	0.24864762926829267
L1Md_A.O.bed	E13.5	79	0.24783950731707316
L1Md_A.O.bed	E13.5	80	0.25101413658536587
L1Md_A.O.bed	E13.5	81	0.25581446829268295
L1Md_A.O.bed	E13.5	82	0.25794049268292685
L1Md_A.O.bed	E13.5	83	0.25781548780487806
L1Md_A.O.bed	E13.5	84	0.2593257658536585
L1Md_A.O.bed	E13.5	85	0.2596528975609756
L1Md_A.O.bed	E13.5	86	0.2620770780487805
L1Md_A.O.bed	E13.5	87	0.2639818243902439
L1Md_A.O.bed	E13.5	88	0.2667812341463415
L1Md_A.O.bed	E13.5	89	0.2658000146341463
L1Md_A.O.bed	E13.5	90	0.2665696
L1Md_A.O.bed	E13.5	91	0.2695133024390244
L1Md_A.O.bed	E13.5	92	0.27164899512195123
L1Md_A.O.bed	E13.5	93	0.274140556097561
L1Md_A.O.bed	E13.5	94	0.27512183414634145
L1Md_A.O.bed	E13.5	95	0.2756893365853659
L1Md_A.O.bed	E13.5	96	0.2779019463414634
L1Md_A.O.bed	E13.5	97	0.27887354146341464
L1Md_A.O.bed	E13.5	98	0.2805763219512195
L1Md_A.O.bed	E13.5	99	0.278382956097561
L1Md_A.O.bed	E13.5	100	0.2798548243902439
L1Md_A.O.bed	E13.5	101	0.2832506536585366
L1Md_A.O.bed	E13.5	102	0.2849341463414634
L1Md_A.O.bed	E13.5	103	0.28681005853658537
L1Md_A.O.bed	E13.5	104	0.28706979512195124
L1Md_A.O.bed	E13.5	105	0.2887629317073171
L1Md_A.O.bed	E13.5	106	0.2899076780487805
L1Md_A.O.bed	E13.5	107	0.292158756097561
L1Md_A.O.bed	E13.5	108	0.29306301463414636
L1Md_A.O.bed	E13.5	109	0.29588163414634144
L1Md_A.O.bed	E13.5	110	0.2986041219512195
L1Md_A.O.bed	E13.5	111	0.2977094292682927
L1Md_A.O.bed	E13.5	112	0.2984886829268293
L1Md_A.O.bed	E13.5	113	0.2980750487804878
L1Md_A.O.bed	E13.5	114	0.30016258048780486
L1Md_A.O.bed	E13.5	115	0.30112457073170734
L1Md_A.O.bed	E13.5	116	0.3008936878048781
L1Md_A.O.bed	E13.5	117	0.30220201463414637
L1Md_A.O.bed	E13.5	118	0.3047128390243902
L1Md_A.O.bed	E13.5	119	0.3089456
L1Md_A.O.bed	E13.5	120	0.3106002487804878
L1Md_A.O.bed	E13.5	121	0.30956127317073173
L1Md_A.O.bed	E13.5	122	0.3104078487804878
L1Md_A.O.bed	E13.5	123	0.3112255658536585
L1Md_A.O.bed	E13.5	124	0.31166801463414634
L1Md_A.O.bed	E13.5	125	0.31447708780487804
L1Md_A.O.bed	E13.5	126	0.31498696585365854
L1Md_A.O.bed	E13.5	127	0.3164010780487805
L1Md_A.O.bed	E13.5	128	0.31936408780487807
L1Md_A.O.bed	E13.5	129	0.3200470731707317
L1Md_A.O.bed	E13.5	130	0.3180557170731707
L1Md_A.O.bed	E13.5	131	0.3187676048780488
L1Md_A.O.bed	E13.5	132	0.3204222536585366
L1Md_A.O.bed	E13.5	133	0.31968149756097564
L1Md_A.O.bed	E13.5	134	0.3168339707317073
L1Md_A.O.bed	E13.5	135	0.316372243902439
L1Md_A.O.bed	E13.5	136	0.31656461463414637
L1Md_A.O.bed	E13.5	137	0.31729576585365854
L1Md_A.O.bed	E13.5	138	0.3180172487804878
L1Md_A.O.bed	E13.5	139	0.3191620390243902
L1Md_A.O.bed	E13.5	140	0.3175554731707317
L1Md_A.O.bed	E13.5	141	0.3186713756097561
L1Md_A.O.bed	E13.5	142	0.3189407414634146
L1Md_A.O.bed	E13.5	143	0.3174977756097561
L1Md_A.O.bed	E13.5	144	0.3158142829268293
