Group	Sample	Bin	Score
L1Md_A.O.bed	H3K4me3	231	-0.0821854243902439
L1Md_A.O.bed	H3K4me3	232	-0.08644019512195122
L1Md_A.O.bed	H3K4me3	233	-0.08374986341463415
L1Md_A.O.bed	H3K4me3	234	-0.08344829756097562
L1Md_A.O.bed	H3K4me3	235	-0.07847220487804878
L1Md_A.O.bed	H3K4me3	236	-0.08263307804878049
L1Md_A.O.bed	H3K4me3	237	-0.08546983902439025
L1Md_A.O.bed	H3K4me3	238	-0.08666670243902438
L1Md_A.O.bed	H3K4me3	239	-0.08872672195121951
L1Md_A.O.bed	H3K4me3	240	-0.09816883902439025
L1Md_A.O.bed	H3K4me3	241	-0.10513191219512195
L1Md_A.O.bed	H3K4me3	242	-0.10531459512195122
L1Md_A.O.bed	H3K4me3	243	-0.1060484780487805
L1Md_A.O.bed	H3K4me3	244	-0.11499387804878049
L1Md_A.O.bed	H3K4me3	245	-0.12024612195121952
L1Md_A.O.bed	H3K4me3	246	-0.11747249268292684
L1Md_A.O.bed	H3K4me3	247	-0.11703812195121951
L1Md_A.O.bed	H3K4me3	248	-0.1171330975609756
L1Md_A.O.bed	H3K4me3	249	-0.11132468780487804
L1Md_A.O.bed	H3K4me3	250	-0.10712558048780488
L1Md_A.O.bed	H3K4me3	251	-0.10360481463414635
L1Md_A.O.bed	H3K4me3	252	-0.09610181463414634
L1Md_A.O.bed	H3K4me3	253	-0.09098029756097561
L1Md_A.O.bed	H3K4me3	254	-0.08789444878048781
L1Md_A.O.bed	H3K4me3	255	-0.08990602439024391
L1Md_A.O.bed	H3K4me3	256	-0.0862889756097561
L1Md_A.O.bed	H3K4me3	257	-0.08475505853658537
L1Md_A.O.bed	H3K4me3	258	-0.07544417073170732
L1Md_A.O.bed	H3K4me3	259	-0.07869077073170731
L1Md_A.O.bed	H3K4me3	260	-0.08073575609756098
L1Md_A.O.bed	H3K4me3	261	-0.08423369756097561
L1Md_A.O.bed	H3K4me3	262	-0.07159812195121952
L1Md_A.O.bed	H3K4me3	263	-0.06934292682926829
L1Md_A.O.bed	H3K4me3	264	-0.0690935512195122
L1Md_A.O.bed	H3K4me3	265	-0.05430040487804878
L1Md_A.O.bed	H3K4me3	266	-0.053635204878048785
L1Md_A.O.bed	H3K4me3	267	-0.05226048780487805
L1Md_A.O.bed	H3K4me3	268	-0.04935689756097561
L1Md_A.O.bed	H3K4me3	269	-0.042813024390243905
L1Md_A.O.bed	H3K4me3	270	-0.040017136585365855
L1Md_A.O.bed	H3K4me3	271	-0.043684043902439025
L1Md_A.O.bed	H3K4me3	272	-0.05321369268292683
L1Md_A.O.bed	H3K4me3	273	-0.061125673170731705
L1Md_A.O.bed	H3K4me3	274	-0.06069609756097561
L1Md_A.O.bed	H3K4me3	275	-0.05954764878048781
L1Md_A.O.bed	H3K4me3	276	-0.06086293658536585
L1Md_A.O.bed	H3K4me3	277	-0.060719878048780485
